Month,Bench,Games,Nodes,Positions,Unknown nodes,Unknown positions
2024-08,44262943988,1344115,52247790,31246979,21485916,21446246
2024-09,44262943988,1251182,48640518,29250314,20031553,19997269
2024-10,44262943988,1304642,50743612,30468666,20913798,20876455
2024-11,46456113101,1256949,48866734,29394763,19966703,19932425
2024-12,46456113101,1370952,53322465,31951643,21819649,21781207
2025-01,46456113101,1360070,52912132,31646156,21583257,21544826
2025-02,46456113101,1177546,45799324,27594180,18669973,18639223
2025-03,46456113101,1294813,50365079,30133016,20489754,20453450
2025-04,46456113101,1232047,47914457,28774314,19526694,19491654
2025-05,46456113101,1290849,50198891,30059223,20452007,20414262
2025-06,48454315961,1235641,48052777,28872435,19437987,19406548
2025-07,48454315961,1272911,49519297,29646707,19990750,19957047
2025-08,48454315961,1269147,49358573,29574729,19942146,19908742
2025-09,48454315961,1185328,46111559,27720148,18613245,18582496
2025-10,48454315961,1241115,48265455,29002536,19541141,19508768
2025-11,53035759834,1216467,47317988,28418475,18449655,18425742
2025-12,53035759834,1280530,49807610,29788296,19400107,19373482
2026-01,53035759834,1256864,48886801,29245383,19025343,18998028
