Month,Bench,Games,Nodes,Positions,Unknown nodes,Unknown positions
2024-08,44262943988,1344115,26786809,6916434,1151927,1147472
2024-09,44262943988,1251182,24935388,6553998,1081488,1077770
2024-10,44262943988,1304642,26004008,6791330,1122492,1118290
2024-11,46456113101,1256949,25051895,6598561,965080,962305
2024-12,46456113101,1370952,27325259,7086656,1056228,1052895
2025-01,46456113101,1360070,27106306,6988345,1028407,1025318
2025-02,46456113101,1177546,23470759,6208792,890940,888463
2025-03,46456113101,1294813,25807204,6668410,970914,967853
2025-04,46456113101,1232047,24553974,6426453,930767,927612
2025-05,46456113101,1290849,25724132,6665329,968968,966055
2025-06,48454315961,1235641,24625672,6448219,908662,906258
2025-07,48454315961,1272911,25369525,6559327,922871,920411
2025-08,48454315961,1269147,25295272,6565580,935013,932413
2025-09,48454315961,1185328,23626346,6203107,865491,863069
2025-10,48454315961,1241115,24735425,6476326,920040,917285
2025-11,53035759834,1216467,24246707,6342616,835444,833629
